id_child;id_parent
un008;eu903
un012;eu905
un031;eu904
un040;eu900
un051;eu904
un056;eu900
un140;un017
un142;un001
un070;eu903
un143;un142
un144;un034
un145;un142
un148;un017
un150;un001
un151;un150
un152;un005
un100;eu900
un154;un150
un155;un150
un156;un030
un112;eu904
un170;un005
un174;un014
un175;un014
un178;un017
un180;un017
un184;un061
un188;un013
un191;un039
un192;un029
un196;un145
un203;un151
un204;un011
un208;un154
un212;un029
un214;un029
un218;un005
un222;un013
un226;un017
un231;un014
un232;un014
un233;un154
un234;un154
un480;un014
un484;un013
un492;un155
un191;eu900
un496;un030
un498;un151
un196;eu900
un499;un039
un203;eu900
un500;un029
un504;un015
un208;eu900
un508;un014
un512;un145
un516;un018
un233;eu900
un246;eu900
un250;eu900
un268;eu904
un275;eu905
un276;eu900
un300;eu900
un348;eu900
un352;eu901
un352;eu902
un372;eu900
un376;eu905
un380;eu900
un400;eu905
un422;eu905
un428;eu900
un434;eu905
un438;eu901
un440;eu900
un442;eu900
un470;eu900
un498;eu904
un499;eu902
un504;eu905
un528;eu900
un578;eu901
un616;eu900
un620;eu900
un642;eu900
un238;un005
un242;un054
un246;un154
un248;un154
un250;un155
un254;un005
un258;un061
un262;un014
un266;un017
un268;un145
un270;un011
un275;un145
un276;un155
un288;un011
un292;un039
un688;eu902
un296;un057
un300;un039
un304;un021
un308;un029
un703;eu900
un312;un029
un316;un057
un705;eu900
un320;un013
un324;un011
un328;un005
un332;un029
un724;eu900
un336;un039
un520;un057
un524;un034
un528;un155
un531;un029
un533;un029
un534;un029
un752;eu900
un535;un029
un756;eu901
un540;un054
un760;eu905
un548;un054
un554;un053
un558;un013
un562;un011
un566;un011
un570;un061
un574;un053
un578;un154
un788;eu905
un580;un057
un792;eu902
un583;un057
un584;un057
un585;un057
un586;un034
un591;un013
un804;eu904
un598;un054
un807;eu902
un600;un005
un818;eu905
un604;un005
un826;eu900
un608;un035
un612;un061
un616;un151
un620;un039
un624;un011
un626;un035
un630;un029
un634;un145
un638;un014
un642;un151
un643;un151
un646;un014
un652;un029
un654;un011
un659;un029
un660;un029
un662;un029
un663;un029
un666;un021
un670;un029
un674;un039
un678;un017
un680;un154
un682;un145
un686;un011
un688;un039
un690;un014
un694;un011
un702;un035
un703;un151
un704;un035
un705;un039
un706;un014
un710;un018
un716;un014
un724;un039
un728;un014
un729;un015
un732;un015
un740;un005
un744;un154
un748;un018
un752;un154
un002;un001
un004;un034
un005;un419
un008;un039
un009;un001
un011;un002
un012;un015
un013;un419
un014;un002
un015;un002
un016;un061
un017;un002
un018;un002
un019;un001
un020;un039
un021;un019
un024;un017
un028;un029
un029;un419
un030;un142
un031;un145
un032;un005
un034;un142
un035;un142
un036;un053
un039;un150
un040;un155
un044;un029
un048;un145
un050;un034
un051;un145
un052;un029
un053;un009
un054;un009
un056;un155
un057;un009
un060;un021
un061;un009
un064;un034
un068;un005
un070;un039
un072;un018
un076;un005
un084;un013
un090;un054
un092;un029
un096;un035
un100;un151
un104;un035
un108;un014
un112;un151
un116;un035
un120;un017
un124;un021
un132;un011
un136;un029
un340;un013
un344;un030
un348;un151
un352;un154
un356;un034
un360;un035
un364;un034
un368;un145
un372;un154
un376;un145
un380;un039
un384;un011
un388;un029
un392;un030
un398;un143
un400;un145
un404;un014
un408;un030
un410;un030
un414;un145
un417;un143
un418;un035
un419;un019
un422;un145
un426;un018
un428;un154
un430;un011
un434;un015
un438;un155
un440;un154
un442;un155
un446;un030
un450;un014
un454;un014
un458;un035
un462;un034
un466;un011
un470;un039
un474;un029
un478;un011
un756;un155
un760;un145
un762;un143
un764;un035
un768;un011
un772;un061
un776;un061
un780;un029
un784;un145
un788;un015
un792;un145
un795;un143
un796;un029
un798;un061
un800;un014
un804;un151
un807;un039
un818;un015
un826;un154
un830;un154
un831;un154
un832;un154
un833;un154
un834;un014
un840;un021
un850;un029
un854;un011
un858;un005
un860;un143
un862;un005
un876;un061
un882;un061
un887;un145
un894;un014
